App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
6110028,HDR,05/09/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,08/25/2025 11:00:00 PM
6109862,HDR,05/06/2025,Denied,Not Applicable,Complete,Needed,Needed,Needed,Complete,Copy of DMV license needed,08/25/2025 11:00:00 PM
6112858,HDR,06/22/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6111241,HDR,05/29/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117344,HDR,08/12/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,08/25/2025 11:00:00 PM
6115678,HDR,07/24/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6114107,HDR,07/08/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6118051,HDR,08/20/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116308,HDR,07/31/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117765,HDR,08/17/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6113145,HDR,06/26/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,08/25/2025 11:00:00 PM
6111070,HDR,05/26/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6115729,HDR,07/25/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6111789,HDR,06/06/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6117731,HDR,08/17/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6112176,HDR,06/12/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6117973,HDR,08/19/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6110612,HDR,05/19/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6115475,HDR,07/22/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114918,HDR,07/17/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Copy of DMV license needed,08/25/2025 11:00:00 PM
6115812,HDR,07/26/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6114555,HDR,07/14/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6115841,HDR,07/27/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114786,HDR,07/16/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6115302,HDR,07/21/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6115656,HDR,07/24/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6115781,HDR,07/25/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6118121,HDR,08/21/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6113287,HDR,06/28/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6114781,HDR,07/15/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,08/25/2025 11:00:00 PM
6118009,HDR,08/20/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117953,HDR,08/19/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6110610,HDR,05/19/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114316,HDR,07/10/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,08/25/2025 11:00:00 PM
6114822,HDR,07/16/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6112354,HDR,06/15/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6114913,HDR,07/17/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,08/25/2025 11:00:00 PM
6116013,HDR,07/28/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6116628,HDR,08/05/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,08/25/2025 11:00:00 PM
6115500,HDR,07/23/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6115362,HDR,07/22/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114446,HDR,07/12/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6117420,HDR,08/13/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6110165,HDR,05/12/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,08/25/2025 11:00:00 PM
6113902,HDR,07/07/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6113420,HDR,06/30/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Copy of DMV license needed,08/25/2025 11:00:00 PM
6114658,HDR,07/14/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,08/25/2025 11:00:00 PM
6110843,HDR,05/22/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed,08/25/2025 11:00:00 PM
6114819,HDR,07/16/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6114376,HDR,07/11/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6116474,HDR,08/03/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6109906,HDR,05/07/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,08/25/2025 11:00:00 PM
6117759,HDR,08/17/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6113430,HDR,06/30/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6116703,HDR,08/05/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,08/25/2025 11:00:00 PM
6115445,HDR,07/22/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6117079,HDR,08/09/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114251,HDR,07/10/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117070,HDR,08/09/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6112159,HDR,06/11/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6115037,HDR,07/18/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6112871,HDR,06/22/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,08/25/2025 11:00:00 PM
6113775,HDR,07/04/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,08/25/2025 11:00:00 PM
6113224,HDR,06/27/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6114430,HDR,07/11/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6115015,HDR,07/18/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6118100,HDR,08/21/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6118320,HDR,08/25/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117507,HDR,08/14/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6113847,HDR,07/06/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117740,HDR,08/17/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116321,HDR,08/01/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116661,HDR,08/05/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6116721,HDR,08/06/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,08/25/2025 11:00:00 PM
6115649,HDR,07/24/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,08/25/2025 11:00:00 PM
6114034,HDR,07/07/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6113570,HDR,07/01/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6115703,HDR,07/24/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6112571,HDR,06/17/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114878,HDR,07/16/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6118358,HDR,08/25/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117068,HDR,08/09/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6115884,HDR,07/28/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114742,HDR,07/15/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6116603,HDR,08/04/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6118380,HDR,08/25/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117173,HDR,08/11/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,08/25/2025 11:00:00 PM
6112331,HDR,06/14/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6118041,HDR,08/20/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6111228,HDR,05/28/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,08/25/2025 11:00:00 PM
6117296,HDR,08/12/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6113006,HDR,06/23/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,08/25/2025 11:00:00 PM
6117184,HDR,08/11/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114083,HDR,07/08/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6118263,HDR,08/23/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6114995,HDR,07/17/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,08/25/2025 11:00:00 PM
6111834,HDR,06/06/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6112959,HDR,06/23/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,08/25/2025 11:00:00 PM
6115000,HDR,07/17/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6115239,HDR,07/21/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116585,HDR,08/04/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114244,HDR,07/10/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,08/25/2025 11:00:00 PM
6117359,HDR,08/12/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6115573,HDR,07/23/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6115048,HDR,07/18/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116241,HDR,07/31/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114199,HDR,07/09/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6111414,HDR,05/31/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6109878,HDR,05/06/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116207,HDR,07/30/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6117626,HDR,08/15/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,08/25/2025 11:00:00 PM
6117777,HDR,08/18/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6113886,HDR,07/07/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6113742,HDR,07/03/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6117946,HDR,08/19/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117684,HDR,08/16/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,08/25/2025 11:00:00 PM
6116732,HDR,08/06/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6113085,HDR,06/24/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,08/25/2025 11:00:00 PM
6116371,HDR,08/01/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6110382,HDR,05/14/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117176,HDR,08/11/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6116695,HDR,08/05/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114415,HDR,07/11/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6117920,HDR,08/19/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,08/25/2025 11:00:00 PM
6118243,HDR,08/22/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6118265,HDR,08/23/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6109892,HDR,05/07/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6111941,HDR,06/09/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6111255,HDR,05/29/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6111457,HDR,06/02/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,08/25/2025 11:00:00 PM
6118179,HDR,08/21/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117486,HDR,08/14/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6110992,HDR,05/24/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6115663,HDR,07/24/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116507,HDR,08/04/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6110140,HDR,05/12/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6114476,HDR,07/12/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6112294,HDR,06/13/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6116746,HDR,08/06/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114548,HDR,07/14/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6110472,HDR,05/16/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6111019,HDR,05/25/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114733,HDR,07/15/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6115810,HDR,07/26/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117692,HDR,08/16/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116601,HDR,08/04/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,08/25/2025 11:00:00 PM
6117470,HDR,08/14/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,08/25/2025 11:00:00 PM
6113404,HDR,06/30/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6110469,HDR,05/16/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117734,HDR,08/17/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116783,HDR,08/06/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116058,HDR,07/29/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116458,HDR,08/03/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6114473,HDR,07/12/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6118079,HDR,08/21/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117091,HDR,08/10/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6115181,HDR,07/20/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6112480,HDR,06/16/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,08/25/2025 11:00:00 PM
6113809,HDR,07/04/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6112696,HDR,06/19/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,08/25/2025 11:00:00 PM
6114114,HDR,07/08/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117542,HDR,08/14/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6115160,HDR,07/20/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,08/25/2025 11:00:00 PM
6114731,HDR,07/15/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed,08/25/2025 11:00:00 PM
6112768,HDR,06/20/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6112309,HDR,06/14/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116202,HDR,07/30/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,08/25/2025 11:00:00 PM
6117282,HDR,08/12/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6113303,HDR,06/28/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6112167,HDR,06/12/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6117949,HDR,08/19/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6112526,HDR,06/17/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6113194,HDR,06/27/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,08/25/2025 11:00:00 PM
6112862,HDR,06/22/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,08/25/2025 11:00:00 PM
6117294,HDR,08/12/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,08/25/2025 11:00:00 PM
6110029,HDR,05/09/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6118031,HDR,08/20/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,08/25/2025 11:00:00 PM
6111085,HDR,05/26/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
